date,name
2038-02-04,SEOLLAL
2038-02-05,SEOLLAL_A
2038-03-01,INDEPENDENCE_MOVEMENT_DAY
2038-05-01,LABOUR_DAY
2038-05-05,CHILDRENS_DAY
2038-05-11,BUDDHAS_BIRTHDAY
2038-06-06,MEMORIAL_DAY
2038-08-15,LIBERATION_DAY
2038-09-12,CHUSEOK_B
2038-09-13,CHUSEOK
2038-09-14,CHUSEOK_A
2038-09-15,Alternative
2038-12-25,CHRISTMAS
2039-01-01,NEW_YEARS_DAY
2039-01-23,SEOLLAL_B
2039-01-24,SEOLLAL
2039-01-25,SEOLLAL_A
2039-01-26,Alternative
2039-03-01,INDEPENDENCE_MOVEMENT_DAY
2039-04-30,BUDDHAS_BIRTHDAY
2039-05-01,LABOUR_DAY
2039-05-05,CHILDRENS_DAY
2039-06-06,MEMORIAL_DAY
2039-08-15,LIBERATION_DAY
2039-10-01,CHUSEOK_B
2039-10-02,CHUSEOK
2039-10-03,CHUSEOK_A
2039-10-04,Alternative
2039-12-25,CHRISTMAS
2040-01-01,NEW_YEARS_DAY
2040-02-11,SEOLLAL_B
2040-02-12,SEOLLAL
2040-02-13,SEOLLAL_A
2040-02-14,Alternative
2040-03-01,INDEPENDENCE_MOVEMENT_DAY
2040-05-01,LABOUR_DAY
2040-05-05,CHILDRENS_DAY
2040-05-07,Alternative
2040-05-18,BUDDHAS_BIRTHDAY
2040-06-06,MEMORIAL_DAY
2040-08-15,LIBERATION_DAY
2040-09-19,CHUSEOK_B
2040-09-20,CHUSEOK
2040-09-21,CHUSEOK_A
2040-12-25,CHRISTMAS
2041-01-01,NEW_YEARS_DAY
2041-01-31,SEOLLAL_B
2041-02-01,SEOLLAL
2041-02-02,SEOLLAL_A
2041-03-01,INDEPENDENCE_MOVEMENT_DAY
2041-05-01,LABOUR_DAY
2041-05-05,CHILDRENS_DAY
2041-05-06,Alternative
2041-05-07,BUDDHAS_BIRTHDAY
2041-06-06,MEMORIAL_DAY
2041-08-15,LIBERATION_DAY
2041-09-09,CHUSEOK_B
2041-09-10,CHUSEOK
2041-09-11,CHUSEOK_A
2041-12-25,CHRISTMAS
2042-01-01,NEW_YEARS_DAY
2042-01-21,SEOLLAL_B
2042-01-22,SEOLLAL
2042-01-23,SEOLLAL_A
2042-03-01,INDEPENDENCE_MOVEMENT_DAY
2042-05-01,LABOUR_DAY
2042-05-05,CHILDRENS_DAY
2042-05-26,BUDDHAS_BIRTHDAY
2042-06-06,MEMORIAL_DAY
2042-08-15,LIBERATION_DAY
2042-09-27,CHUSEOK_B
2042-09-28,CHUSEOK
2042-09-29,CHUSEOK_A
2042-09-30,Alternative
2042-12-25,CHRISTMAS
2043-01-01,NEW_YEARS_DAY
2043-02-09,SEOLLAL_B
2043-02-10,SEOLLAL
2043-02-11,SEOLLAL_A
2043-03-01,INDEPENDENCE_MOVEMENT_DAY
2043-05-01,LABOUR_DAY
2043-05-05,CHILDRENS_DAY
2043-05-16,BUDDHAS_BIRTHDAY
2043-06-06,MEMORIAL_DAY
2043-08-15,LIBERATION_DAY
2043-09-16,CHUSEOK_B
2043-09-17,CHUSEOK
2043-09-18,CHUSEOK_A
2043-12-25,CHRISTMAS
2044-01-01,NEW_YEARS_DAY
2044-01-29,SEOLLAL_B
2044-01-30,SEOLLAL
2044-01-31,SEOLLAL_A
2044-02-01,Alternative
2044-03-01,INDEPENDENCE_MOVEMENT_DAY
2044-05-01,LABOUR_DAY
2044-05-05,CHILDRENS_DAY
2044-05-05,BUDDHAS_BIRTHDAY
2044-06-06,MEMORIAL_DAY
2044-08-15,LIBERATION_DAY
2044-10-04,CHUSEOK_B
2044-10-05,CHUSEOK
2044-10-06,CHUSEOK_A
